users,times,text,topic,quote
"
farovskayaoksana","
Опубликовано: 16 июл 2019
","

	провожу курс витаминизации кожи. Беру в аптеке мазь радевит и курсом 10-12шт наношу как маску под пленку. Держу минут 15-20.  В составе витамины красоты - А Е Д. Кожа на них очень хорошо отзывается - свежеет светлеет. 

",Beauty,
"
KamillaFedorovna","
Опубликовано: 17 июл 2019
","

	осветлить ? это о пигментации? если я правильно понимаю вопрос, то мне лично помогла отбеливающая сыворотка от либридерма, у меня одно время беда была с кожей (пигментация +веснушки , пятна и прочий ужас) сыворотка за месяц примерно спасла меня, спустя несколько лет ни одного пятнышка  ) 

",Beauty,
"
nanaa","
Опубликовано: 4 июн 2021
			
				(изменено)
			
			
			
		","

	Ок.


Изменено 4 июн 2021 пользователем KamillaFedorovna

",Beauty,
"
Sonetta","
Опубликовано: 11 сен 2021
","

	Сейчас как раз можно делать пилинг домашний из лосьона Ретасол, он выравнивает цвет, рельеф кожи, все как вы хотите) Только надо с недельку потерпеть и не сдирать шелушения, не увлажнять кожу лица, чтобы ороговевший слой  отошел. А когда прекратите  пользоваться Ретасолом  - обязательно напитать кожу кремами. 

",Beauty,
"
nanaa","
Опубликовано: 2 дек 2022
","

	 Мне с такими проблемами помогла только косметолог. Хожу к Азизе Усмановой, мне нравится как она подбирает курс омоложения и оздоровления кожи. Тоже были поры, жирность повышенная, ну и морщины уже наметились после 35. Все исправила, сейчас выгляжу лучше, чем три года назад.

",Beauty,
"
larisaa","
Опубликовано: 19 фев 2022
","

	Мучаюсь с угрями давно, диета, косметика не дают долгий результат. На лице не просто черные точки, а периодами воспаление, красные прыщи, угри, лицо зудит. Ужас одним словом. Делитесь  опытом, если кому то удалось убрать с лица такую гадость. 

",Beauty,
"
tinn","
Опубликовано: 19 фев 2022
","

	Вы знаете что причиной угревой болезни может быть демодекс, подкожный клещ? И пока его не устранить все тщетно. Его убирают, эмульсией  Бензилбензоат ( как один из вариантов), а потом уже кремы от постакне. 

",Beauty,
"
Frada","
Опубликовано: 20 фев 2022
","

	Мне косметолог помог, много денег потратила, но угри прошли

",Beauty,
"
Галина","
Опубликовано: 22 фев 2022
","
	Кроме того, еще ряд средств (дифферин, увлажняющие средства), консультации у других специалистов.  Так что не опускайте руки, все получится 
",Beauty,"

			Мучаюсь с угрями давно, диета, косметика не дают долгий результат. На лице не просто черные точки, а периодами воспаление, красные прыщи, угри, лицо зудит. Ужас одним словом. Делитесь  опытом, если кому то удалось убрать с лица такую гадость. 
		
"
"
Frada","
Опубликовано: 7 мар 2022
","

	избавление от прыщей процесс не быстрый. Поэтому важно выдерживать курс применения. Пользуюсь Ретиноевой мазью. Так у нее курс до 3 месяцев а то и больше в зависимости от состояния. Важно набраться терпения и не бросить посередине, а довести лечение до конца.

",Beauty,
"
farovskayaoksana","
Опубликовано: 8 мар 2022
","
	Совершенно верно)
",Beauty,"

			Важно набраться терпения и не бросить посередине, а довести лечение до конца.
		
"
"
Колючка","
Опубликовано: 24 июл 2019
","

	Давным-давно помню брала в подружке какие-то патчи от черных точек, помню, тогда они очень неплохо помогали. Кто-то помнит фирму или можете подсказать пожалуйста что-то альтернативное! 

",Beauty,
"
Гость","
Опубликовано: 26 авг 2019
","

	Сходите к косметологу, может Вам банально нужно изменить уход за Вашей кожей, но конечно могут быть и другие причины


	Альтернатив оооочень много, различные чистки и пилинги, но это все подбирается индивидуально. Вам сейчас на форуме посоветуют кучу косметики и масочек, потом еще и аллергию лечить будите. Сходите на консультацию в Фрау клиник, там хорошие врачи косметологи принимают, предложат варианты . Просто я как то тоже по рекомендации на форуме попробовала масочку от сухости кожи дома сделать, так кожа еще суше стала, после этого только к специалистам обращаюсь за советами.

",Beauty,
"
Augustina","
Опубликовано: 4 сен 2019
","

	Попробуйте, спонжики от whamisa глубокое очищение пор, хорошая штука,деликатно очищает кожу.

",Beauty,
"
Яна-Милашка","
Опубликовано: 5 сен 2019
","

	к хорошему косметологу сходить и подобрать правильный уход )

",Beauty,
"
tbruyevichaaa","
Опубликовано: 13 сен 2019
","

	мне от черных точек хорошо помог лосьон для сужения и очищения пор либридерм, в разы точек стало меньше, продается в аптеке

",Beauty,
"
Алина22","
Опубликовано: 16 сен 2019
","

	Я распариваю снчала, умываюсь и лосьоном для сужения пор

",Beauty,
"
Маргарита Ткаченко","
Опубликовано: 28 сен 2021
","

	 


	У меня постоянные корочки на губах, то есть не проходят ВООБЩЕ. Постоянно какие-то неровности, что очень раздражает.. Есть привычка покусывать губы, которая все усугубляет... Как можно избавится от этой проблемы? Посоветуйте, кто в теме.

",Beauty,
"
Алина22","
Опубликовано: 29 сен 2021
","

	берете покупаете бальзам кармекс, наносите регулярно, и на ночь обязательно перед сном. вы удивитесь, как быстро корки исчезнут.

",Beauty,
"
Маргарита Ткаченко","
Опубликовано: 29 сен 2021
","
	Думаете? Я уже сто пятьсот гигиеничек пробовала. Без толку..
",Beauty,"

			берете покупаете бальзам кармекс, наносите регулярно, и на ночь обязательно перед сном. вы удивитесь, как быстро корки исчезнут.
		
"
"
Алина22","
Опубликовано: 29 сен 2021
","

	как и я в свое время, только кармекс помог. там состав какой-то офигенский, не зря это прям бестселлер в мире бальзамов уже много лет.

",Beauty,
"
nanaa","
Опубликовано: 29 сен 2021
","
	Да, я именно его не пробовала. Надо будет.
",Beauty,"

			как и я в свое время, только кармекс помог. там состав какой-то офигенский, не зря это прям бестселлер в мире бальзамов уже много лет.
		
"
"
Smirnova","
Опубликовано: 8 окт 2021
","

	Попробуйте мазь Видестим, аптечная штука, состоит из витамина а,круто увлажняет губы, трещинки заживляет лучше любого бальзама,  как по мне

",Beauty,
"
Катрина73","
Опубликовано: 10 июн 2021
			
				(изменено)
			
			
			
		","

	Какая хорошая косметология есть в Алматы? Сертифицированная, желательно клиника, а не просто салон.


Изменено 10 июн 2021 пользователем Smirnova

",Beauty,
"
Smirnova","
Опубликовано: 11 июн 2021
","

	Могу посоветовать Промоиталию (Promoitalia), это премиум-клиника с очень хорошим техническим оснащением. Полностью представлена вся косметология, anty-age, эстетическая, аппаратная,  сертификаты на всю технику и на все средства. У них и пластика есть, но с ней я пока не сталкивалась – рано.

",Beauty,
"
Катрина73","
Опубликовано: 12 июн 2021
","

	Спасибо, я посмотрела - то, что мне нужно, у них есть. Немаленькая такая клиника) а кого из специалистов порекомендуете?

",Beauty,
"
Smirnova","
Опубликовано: 13 июн 2021
","

	А смотря для чего) я сама к Алене Дудченко хожу, она универсал, и кроме того, очень хороший диагност. Ну и естественно, медик по основному образованию, дерматолог. Но в Промоиталии все косметологи врачи, а не просто с переподготовкой.

",Beauty,
"
Sonetta","
Опубликовано: 14 июн 2021
","

	Еще раз благодарю, осталось изучить прайс – на беглый взгляд цены норм. Наугад ходить не люблю, если  что -  буду проситься к вашей Алене.

",Beauty,
"
Lika","
Опубликовано: 6 окт 2021
","

	Девочки, а кого-то из пластиков можете посоветовать? Я планирую блефару делать, клиника нравится, но врачей совсем не знаю.

",Beauty,
"
Золотая рыбка","
Опубликовано: 21 июл 2015
","
Как вы думаете, существует ли реально крем против морщин или эти крема, которые ркламируют по телевизору толку никакого не приносят и только опустошают наш кошелек. Или может у вас в арсенале уже есть такой чудо-крем?
",Beauty,
"
Загадочная","
Опубликовано: 22 июл 2015
","
Моё мнение, от уже существующих морщин ни один крем не избавит. Такие крема могут помочь отложить появление морщин, но не более того. И раньше времени нельзя начинать ими пользоваться, кожа начнет стареть быстрее. До 30 лет вообще беспокоить не надо, только увлажнять кожу по мере необходимости. 
",Beauty,
"
Diana","
Опубликовано: 22 июл 2015
","
Смотрела передачу по тв, где говорилось, что хоть дешевые крема, хоть очень дорогие в принципе приносят один и тот же эффект. Просто одни более разрекламированы и красивее оформлены в упаковке, а другие попроще. Только вот жаль, что приходится все эти крема на себе испытывать, чтобы понять какой подходит лучше. А это не быстрый процесс. 
",Beauty,
"
Симпатяга","
Опубликовано: 23 июл 2015
","
Я кремами повседневно вообще не пользуюсь, все что они делают, это забивают поры. Особенно губительные различные тональники. Кожу нужно хорошо очищать, увлажнять и питать естественными способами - огуречные маски, сметана, оливковое масло. 
",Beauty,
"
Ксюша Шадалова","
Опубликовано: 25 июл 2015
","
Я чаще пользуюсь кремом зимой, когда понимаю, что кожа сухая. И ее даже очень хочется помазать кремом. И руки тоже. А когда лето, то нет ощущения необходимости крема и я им почти не пользуюсь. 
",Beauty,
"
Натали","
Опубликовано: 18 авг 2015
","
Не знаю кому эти крема помогают, я покупала уже разные и если глубокие морщины, то ничего и не спасает. Склоняюсь больше к аппаратной косметологии, нужно что-то делать срочно, кожа заметно увядает, хотя мне совсем чуть-чуть за тридцать. Для начала конечно хочу посоветоваться с хорошим косметологом. Ооочень хочу хорошо выглядеть
",Beauty,
"
VioletaYa","
Опубликовано: 20 июл 2016
","

	мне кажется, только методом проб и ошибок можно подобрать себе эффективный крем

",Beauty,
"
alena33","
Опубликовано: 20 июл 2016
","

	я думаю что нужен просто комплексный уход вот и все)

",Beauty,
"
Alina90","
Опубликовано: 21 июл 2016
","

	Нет сильно эффективных пока кремов. Но есть, которые все же оказываю небольшое влияние на их сглаживание и то на определенное время.

",Beauty,
"
Guslya","
Опубликовано: 29 июл 2016
","

	Попробуйте применять вместе с кремами упражнения и массажи для лица - очень хорошо помогает привести в тонус кожу + больше витаминов) 

",Beauty,
"
Guslya","
Опубликовано: 29 июл 2016
","

	в тонус хорошо приводит кожу пилинг, можно дома самому сделать из сока лимона

",Beauty,
"
MariannaMa","
Опубликовано: 1 авг 2016
","

	еще мне понравился массаж лица с помощью стеклянных шариков, наполненных холодной водой, лицо после него гладенькое и свежее, кажется моложе лет на 7 
",Beauty,
"
Antuanetta","
Опубликовано: 10 окт 2017
","
	Ой, я его обожаю! Радевит в смысле)) Его и на тело, и на руки, и на лицо!!!! Более универсального и эффективного увлажняющего средства еще не знавала  плюс его еще можно под пленочку делать (на те же руки, например) - так получается эффект маски, очень клево!
",Beauty,"

			Вы бы видели мою маму. По салонам не ходит, но при этом ведет здоровый образ жизни, правильно питается, занимается спортом (не регулярно). Для лица у нее радевит и массаж сама делает. А еще она мне часто повторяет: ""Не нервничай, а то морщины будут"". Сама она у меня с такой выдержкой.
		
"
"
Yllianna","
Опубликовано: 14 окт 2017
","

	Моя кожа очень оценила серию омоложение от Dr.IRISOVA . Легкие текстуры, быстро впитывается, хорошо увлажняет. За месяц использования видно ощутимый результат. А крем-сыворотка ночной вообще мегапитательный


",Beauty,
"
Augustina","
Опубликовано: 22 окт 2017
","
	Все-таки жирнил он мне кожу( Мне кажется он идеален для сухой кожи. У меня - себорегулирующий сетафил (крем), пока ничего другое мне не подходит.
",Beauty,"

			Ой, я его обожаю! Радевит в смысле)) Его и на тело, и на руки, и на лицо!!!! Более универсального и эффективного увлажняющего средства еще не знавала 
"
"
Sova","
Опубликовано: 23 окт 2017
","

	столько кремов.. какой выбрать то? и со скольких лет вы начинали кремами от морщин мазаться?

",Beauty,
"
Василек","
Опубликовано: 25 окт 2017
","
	Вы наверное много навозюкали, нужно было промокнуть салфеткой и в следующий раз мазать меньшее количество. Мы когда были с друзьями на бизон трек шоу, у меня лицо ""поджарилось"". Мама, от солнечного ожога, дала мне радевит, чтобы я на лицо нанесла. Я тоже навозюкала, но через время все впиталось, ощущения жирности у меня не было, хотя у меня жирный тип кожи.
",Beauty,"

			Все-таки жирнил он мне кожу( Мне кажется он идеален для сухой кожи. У меня - себорегулирующий сетафил (крем), пока ничего другое мне не подходит.
		
"
"
Katya77","
Опубликовано: 26 окт 2017
","
	Очень странно, Вы какой слой наносили?) У меня кожа жирная и обезвоженная, наношу на ночь радевит, без фанатизма, конечно, практически моментально впитывается, на следующий день кожа меньше блестит даже, чем обычно, ну и вид посвежее, конечно. Так что уж не знаю, как это у Вас вышло)
",Beauty,"

			Все-таки жирнил он мне кожу( Мне кажется он идеален для сухой кожи. У меня - себорегулирующий сетафил (крем), пока ничего другое мне не подходит.
		
"
"
катя_горячева","
Опубликовано: 24 июн 2018
","

	Помните раньше была фирма чистая линия. Так вот, мне нравится.. Сейчас конечно уже не оригинал. Но все же

",Beauty,
"
Кристи","
Опубликовано: 27 июн 2018
","

	берите любой с муцином улитки - это очень мощный антиэйдж. Еще посмотрите, поищите хорошего продавца корейской косметики - там есть полные аналоги люкса, только дешевле в два раза. Еще пропивайте периодически гиалуронку внутрь, куркумин (это очень недорого, можно в любой аптеке эваларовский купить) и карнозин. 

",Beauty,
"
Анастасия Тихвинская","
Опубликовано: 21 июл 2018
","

	Однозначно такие крема есть!   Я очень люблю крем блюр 3Д от либридерм гиалуроновый филлер, он очень здорово маскирует мелкие морщинки, гусиные лапки, овал лица делает четким .  Я довольна, удается выглядеть лет на 7-10 моложе! 

",Beauty,
"
blacksize","
Опубликовано: 22 авг 2018
","

	Я как только на себе ощутила так сказать первые признаки старения - сразу крем сменила. Сейчас пользуюсь Муцином улитки (Либри), кожа всегда подтянута! Увлажнена и морщинки разглаживает, даже мимические, которые со мной еще с подросткового возраста  


",Beauty,
"
Мария Нахимова","
Опубликовано: 16 сен 2018
","
	Таким же пользуюсь.
",Beauty,"

			Я как только на себе ощутила так сказать первые признаки старения - сразу крем сменила. Сейчас пользуюсь Муцином улитки (Либри), кожа всегда подтянута! Увлажнена и морщинки разглаживает. даже мимические, которые со мной еще с подросткового возраста  
		



"
"
Okitava","
Опубликовано: 18 сен 2018
","

	оливковое и льняное масло я слышала надо для кожи вовнутрь принимать, я делаю маски, альгинатные люблю, кремом с пептидами и фитофлораном обязательно для лица пользуюсь.

",Beauty,
"
Гость swissanna","
Опубликовано: 29 окт 2019
","

	Надо средство, стимулирующее выработку коллагена, та же бурёнка просто отлично с этим справляется, питает и увлажняет кожу. 

",Beauty,
"
Аленка71","
Опубликовано: 19 ноя 2019
","

	Попробовала серию для коррекции морщинок Toxy и не поверила своим глазам!!! Результат и правда заметен практически сразу !

",Beauty,
"
Галина","
Опубликовано: 27 авг 2020
","

	Пользуюсь сывороткой Лора Стволовые клетки Эдельвейс. Относительно недавно. Меньше месяца. Решила, что пора объявить бой морщинам. Уже есть видимый результат. Цвет кожи выровнялся. Кожа постепенно обретает упругость. Появился хороший тонус. Особенно это заметно на зоне декольте и шеи. Глубина мимических морщин сократилась. Особенно заметно вокруг носогубных складок. Увлажнение хорошее. Для лета это очень актуально.

",Beauty,
"
Алла Миронова","
Опубликовано: 24 апр 2021
","

	по моему крем от морщин даст ощутимый результат только в самой начальной стадии. А чтобы реально разгладить складки кожи, нужны более серьезные процедуры. Вот я например делаю домашний  кислотный пилинг с помощью Ретиноевой мази. У нее в составе ретиноевая кислота, которая отшелушивает кожу. После того как сойдет верхний отмерший слой, под ней ровный гладкий новый слой обнажается. И морщин меньше. Делать ее конечно можно только зимой. Но получается реальное разглаживание морщин.

",Beauty,
"
kudrow","
Опубликовано: 18 май 2021
			
				(изменено)
			
			
			
		","

	А мне очень понравилась Лора сыворотка эдельвейс. Сестра на День рождения подарила. В составе экстракт стволовых клеток эдельвейса, уникальная рецептура, разработанная в Швейцарии. Сыворотка уменьшает глубину морщин, разглаживает рельеф кожи, делает ее упругой и эластичной. Имеет глубокое омолаживающее действие. Стимулирует выработку коллагена и эластина.


Изменено 18 май 2021 пользователем Алла Миронова

",Beauty,
"
Карина1993","
Опубликовано: 6 май 2021
","

	 


	 


	искривленная перегородка носа в моем случае  - была показанием к проведению риносептопластики. ну а что тут скажешь., что может сделать в данной ситуации Лор на приеме? посоветовать другого хорошего Лора и хирурга в одном лице;. а именно - Алексаняна. В юношестве мне просто хотелось исправить форму своего носа..ну а в более осознанном возрасте захотелось исправить его из эстетических соображений плюс устранить сложности с дыханием. Хоть и был страх, но буквально через месяц после моей первой  встречи с Алексаняном  я вовсю ходила с абсолютно новым красивым по форме носом., который наконец-то задышал., без всяких спреев в нос и т д. Столько проблем было решено за раз- вот что значит рука профессионала! На фото - 11 мес с операции


	 



",Beauty,
"
kremeBrule","
Опубликовано: 16 фев 2018
","

	“Добрый день всем. Я бы хотела сделать косметическую операцию на нос, он у меня с детства широкий, и у меня по это поводу комплексы. Я была на консультации у двух врачей и они отказали мне в операции. Конкретной причиной отказа как такового не было, просто говорили неоперабельно. Хотела бы проконсультироваться так же и у другого врача, посоветуйте, пожалуйста, кого можно и как все будет проходить.”

",Beauty,
"
zhasminka","
Опубликовано: 1 ноя 2018
","

	Карина, у какого врача вы были? Сколько вам лет?


	Я прошла через пластику носа, была у разных врачей, но операцию делала у Абрамяна СМ. Можете поискать отзывы о хирурге или о ринопластике. Благо хватает информации о рино. Мне врач проводил операцию по авторской методике - микро ринопластике. Восстановление при такой операции заняло меньше времени и было легче в разы, чем после открытой пластики носа.

",Beauty,
"
kudrow","
Опубликовано: 19 апр 2019
			
				(изменено)
			
			
			
		","

	kremeBrule, расскажите что сложнее всего было после операции? У вас был гипс же и турунды? Я видела обзоры после ринопластики Абрамяна на ютубе, девушки всегда такие счастливые, когда видят свой нос после рино, у вас также было?


	Близкие как отреагировали на пластику носа? Интересно у кого как проходит пластика носа.


	Я читала, что даже бывают случаи коррекции носовой перегородки под местным наркозом, кажется, что это очень жестоко.


Изменено 19 апр 2019 пользователем zhasminka

",Beauty,
"
Гость ВикторияР","
Опубликовано: 2 янв 2020
","

	Ринопластику делала у Тиграна Альбертовича на Щукинской, прекрасная клиника на Маршала Новикова 17. (кстати, это новое местечко )  Замечательный персонал и конечно потрясающий доктор. Мой новый носик-миленький и маленький. Я в восторге! 

",Beauty,
"
Гость Евгения","
Опубликовано: 19 фев 2020
","
	Записалась на консультацию в Фрау Клиник через неделю, но лучше бы знать заранее на что рассчитывать.
",Beauty,"

			Карина, у какого врача вы были? Сколько вам лет?
		

			Я прошла через пластику носа, была у разных врачей, но операцию делала у Абрамяна СМ. Можете поискать отзывы о хирурге или о ринопластике. Благо хватает информации о рино. Мне врач проводил операцию по авторской методике - микро ринопластике. Восстановление при такой операции заняло меньше времени и было легче в разы, чем после открытой пластики носа.
		
"
"
Yonnikia","
Опубликовано: 19 мар 2020
","

	А я у Тумакова в Фрау клиник оперировалась. Исправляла кончик, он у меня достаточно массивный был, это мне и не нравилось. К сожалению нет профессиональных фоток, что бы более деатльно рассмотреть, но думаю тут и так видно как изменился носик. Это уже 5 месяцев прошло, я очень довольна операцией, в принципе все как я и хотела получилось.



",Beauty,
"
Maria11","
Опубликовано: 24 фев 2019
","

	Девчонки, привет! Сейчас самое время для пилинга, хочу пройти курс. Расскажите, какие пилинги вы делали?

",Beauty,
"
Delta","
Опубликовано: 25 фев 2019
","

	Знаете, пробовала всего один раз пилинг и была несколько в шоке !! Облезла как змеюка, муж с меня неделю смеялся))) курс я не прошла, жалко кожу стала, поэтому я их опасаюсь.

",Beauty,
"
Людочка","
Опубликовано: 28 фев 2019
","

	А вас косметолог не предупредила, что это нормальная реакция на пилинг? Странно. вас должны были проконсультировать и все подробно рассказать. Автор, теперь вам отвечу. Пилинг вам должен подобрать косметолог на очном приеме, лично для моей кожи достаточно поверхностного миндального пилинга, прохожу курс в декабре - январе и довольна, потом только уходовые процедуры. А если у вас прям глобальные проблемы, то срединный пилинг классно помогает, только кожа точно как у змеи потом слазит)))) но после - кожа как у ребеночка! В любом случае, сначала к косметологу на консультацию. Я хожу в GMT-Clinic к Караушевой Татьяне Витальевне, а в сомнительные салоны не ходите.

",Beauty,
"
Галина","
Опубликовано: 10 мар 2019
			
				(изменено)
			
			
			
		","

	Купила себе носочки для пилинга, после которых лишняя кожа со ступней хлопьями слазит. Кожа свежая и отдохнувшая))


Изменено 10 мар 2019 пользователем Людочка

",Beauty,
"
Tanya Filimonova","
Опубликовано: 26 мар 2019
","

	я на пилинге можно сказать ""собаку съела"", это моя любимая процедура. Делаю каждую зиму. Люблю за то, что убирает верхний мертвый слой клеток, который как невидимая корка на лице  препятствует доступу кислорода и питательных веществ из кремов. А пининг все это ""сдирает"". Кожа начинает активно дышать и клетки кожи размножаются , т е идет регенерация. По салонам не хожу. Уже который год практикую домашний пилинг аптечным ретасолом. Получается что говорится дешево и сердито. а главное очень эффективно.

",Beauty,
"
West","
Опубликовано: 30 мар 2019
","

	салонный пилинг без назначения специалиста не советую - можно наоборот навредить. плюс сама по себе процедура болезненная и сложная. домашний для начала попробуйте - советую пилинг-скатку с ромашкой от либридерма, очень классно очищает кожу, ровный тон и цвет личика гарантирован) 

",Beauty,
"
Крошка","
Опубликовано: 3 фев 2016
","

	Кто использует маски для лица, скажите, вы их сами делаете или покупаете? Что на ваш взгляд  лучше, что эффективнее? Купить конечно проще, но вот не факт, что она даст результат, а с другой стороны, технологии сейчас такие, что с травами и рядом не лежали...

",Beauty,
"
georgiya","
Опубликовано: 4 фев 2016
","

	Натуральные маски лучше, но от них эффект будет заметен не сразу, а через некоторое время, при постоянном применений. Но, домашние маски надо готовить, а многим лень, вот и берут покупные.

",Beauty,
"
1linda1","
Опубликовано: 5 фев 2016
","
	Согласна про эффект. Всем хочется быстрый и длительный эффект, а на деле это только первое впечатление, а потом кожа привыкает и все.. Я из покупных беру только глину разную, развожу водичкой и маска готова, очень нравится. А остальные сама делаю. Очень понравился эффект от овсянки с кефиром и медом. Пока чередую глиняные маски с овсяной. Потом может что-то поменяю.
",Beauty,"

			Натуральные маски лучше, но от них эффект будет заметен не сразу, а через некоторое время, при постоянном применений. Но, домашние маски надо готовить, а многим лень, вот и берут покупные.
		
"
"
ferron","
Опубликовано: 28 фев 2017
","

	Я бы выбрала только натуральные маски.Больше доверяю им

",Beauty,
"
Diana1234","
Опубликовано: 1 мар 2017
","

	А я для себя открыла недавно отличный крем. Искала маме подарок и витамины для кожи лица купить решила в интернете. Находка оказалась просто бомбой! 

",Beauty,
"
Илона Ветрова","
Опубликовано: 2 мар 2017
","
	Я пользуюсь гидроактивной сывороткой, бомбическая вещь
",Beauty,"

			Кто использует маски для лица, скажите, вы их сами делаете или покупаете? Что на ваш взгляд  лучше, что эффективнее? Купить конечно проще, но вот не факт, что она даст результат, а с другой стороны, технологии сейчас такие, что с травами и рядом не лежали...
		
"
"
ikari","
Опубликовано: 24 окт 2019
","

	У меня тоже терпения нет самой что-то мешать, хотя раньше делала.Мне проще открыть тюбик и нанести на лицо.

",Beauty,
"
Рита Самочкина","
Опубликовано: 4 дек 2019
","

	Всё же покупные удобней, да и по качеству есть не плохие

",Beauty,
"
Анна Павлова","
Опубликовано: 9 фев 2021
","

	Натуральный состав как по мне важен, но и здоровый подход к себе никто не отменял. Вот у меня с института красные диатезные пятна после любых хэндмейд масок. И на многие крема с суперсоставом так же. Я долго искала свой крем. Теперь у меня питательный крем для лица буренка от лошадиной силы. И я полностью хэппи!

",Beauty,
"
Рита Самочкина","
Опубликовано: 9 фев 2021
","
	Я лучше куплю хороший крем, чем два часа потрачу на изготовление и нанесения какой бы не было маски. Простите, девчонки. Но мне по кайфу блага цивилизации. Слышала про шампуни от лошадиной силы, а у них оказывается есть и для лица косметика. Почему именно этот крем выбрала?
	 
",Beauty,"

			Натуральный состав как по мне важен, но и здоровый подход к себе никто не отменял. Вот у меня с института красные диатезные пятна после любых хэндмейд масок. И на многие крема с суперсоставом так же. Я долго искала свой крем. Теперь у меня питательный крем для лица буренка от лошадиной силы. И я полностью хэппи!
		
"
Анна Павлова,"
Опубликовано: 9 фев 2021
","

Анна Павлова, По мимо того, что он мне просто подходит. Он еще и удобен. Пользуюсь им и утром, и вечером, и в любой сезон. Ушли мелкие мимические морщинки. Лицо светится!

",Beauty,
"
ikari","
Опубликовано: 9 фев 2021
","
	Класс! Рада за тебя. Не знаю про их цены. Подскажи плиз хотя бы диапазон.
",Beauty,"

Анна Павлова, По мимо того, что он мне просто подходит. Он еще и удобен. Пользуюсь им и утром, и вечером, и в любой сезон. Ушли мелкие мимические морщинки. Лицо светится!
		
"
"
corenad","
Опубликовано: 17 сен 2020
","

	 Как ухаживаете за кожей? Посоветуйте своего косметолога в Ростове-на-Дону.
	 

",Beauty,
"
Анечка Рубинович","
Опубликовано: 18 сен 2020
","

	Знаю чудесного мастера своего дела, косметолога Альбину +7 (928) 164-25-85.  Делает чистку лица, мезо, пилинги и т. д. Я очень довольна.

",Beauty,
"
nanaa","
Опубликовано: 22 окт 2020
","

	Для ухода за кожей не обязательно бежать к косметологу сразу) можно самостоятельно подобрать исходя из типа кожи и возраста) я пользуюсь например мезолюксом. От возрастных изменений отличная линейка! Советую с дневного крема начать. Он дает моментальный эффект лифтинга 

",Beauty,
