users,times,text,quote,topic
 Автор ," 09 февраля, 08:57 ","Добрый день. Подскажите что делать.Мне 25 лет. В свое время с учебой не задалось и я кое как доучилась до 10 класса. В 11 не пошла, и мне отдали аттестат за 9 класс.Средний бал там, мягко говоря не очень.Дальше пошла учиться в колледж, но поступила туда где были важны точные науки. А я к ним никак вообще. Отучилась год. По тяжелым семейным обстоятельствам пришлось забрать документы.Так с учебой и закончили.Дальше я работала и все.Так вот, сейчас я поняла что хочу быть преподавателем.(Ничего не говорите, пожалуйста)Есть ли какая то возможность отучиться на преподавателя-предметника, имея только аттестат за 9 класс который 2013 года?#возраст #образование #учеба",,Education
 Гость ," 09 февраля, 09:13 ",ну так педучилище - пединститут - аспирантура (в идеале).,,Education
 Гость ," 09 февраля, 09:15 ",либо училище - универ - допобразование педагога (если в школу хочешь) или аспирантура (если преподом в институт),,Education
 kriko ," 09 февраля, 09:15 ","Смотря где преподавать хотите. Если в школе, то в педагогические колледжи наверняка берут и после 9",,Education
 Гость ," 09 февраля, 09:48 ","+Автор, без аттестата за 11 классов вам только в педучилище на начальные классы. Если хотите выше, то нужно высшее образование, куда вас не возьмут без корочки 11 классов или средне-специального.Но, вообще, странно, конечно, хотеть учить людей, когда вы сами ничего толком не знаете... У меня честный красный диплом магистратуры, от аспирантуры отказалась, работаю преподавателем в хорошей школе и то кажется, что многого не знаю...","Смотря где преподавать хотите. Если в школе, то в педагогические колледжи наверняка берут и после 9",Education
 Гость ," 09 февраля, 11:58 ","Может на учителя физкультуры или учителя труда(технология). Посмотрите на сайте пединститутов, может там набирают подготовительные курсы.",,Education
 Автор ," 09 февраля, 04:25 ","В универе проблемы по учебе ,совсем ничего не учу просто нету желания учиться,уже до того дошла что вообще никак не могу себя заставить ,депрессия апатия ко всему ,наоборот учеба расстраивает еще больше потому что не могу справляться со сложностями,есть вещи которые не выходят у меня ,не знаю что делать ... Как заставить себя учиться через силу ? #образование #экзамены",,Education
 Захария ," 09 февраля, 07:53 ",к психиатру за справкой для академа,,Education
 капелька весны ," 09 февраля, 07:53 ","Если через силу то ничего не запомните. Поставьте себе цель - получить диплом, устроится на любимую работу.Мне когда учится не хотелось я просто читала, вникала в суть и записывала себе маленькие конспекты и было проще.",,Education
 Гость ," 09 февраля, 12:01 ","Скажите себе ""я сделаю это чего бы мне не стоило"". Замотивируйте себя получением диплома, который просто необходим в жизни каждого.",,Education
 Автор ," 09 февраля, 17:52 ","Я понимаю что надо учиться но не хочется вообще,апатия очень большая к этому, даже сейчас вместо того чтобы учить я сижу в телефоне какая то вялость слабость и ни о чем не хочется вообще думать как начинаю думать о учебе плохо становится..(","Скажите себе ""я сделаю это чего бы мне не стоило"". Замотивируйте себя получением диплома, который просто необходим в жизни каждого.",Education
 Гость ," 12 февраля, 01:06 ",Деньги тогда копи. Дура,"Я понимаю что надо учиться но не хочется вообще,апатия очень большая к этому, даже сейчас вместо того чтобы учить я сижу в телефоне какая то вялость слабость и ни о чем не хочется вообще думать как начинаю думать о учебе плохо становится..(",Education
 kari ," 08 февраля, 22:33 ","Учусь в 11 классе, хочу получать фармацевтическое образование. Передо мной стоит выбор: среднее или высшее, так как я читала что в основном выпускники работают в аптеке, а там нет разницы, тем более даже специалист со среднем фарм может стать заведующим при стаже 5 лет) если идти учиться в вуз, то 5 лет - провизор, мед колледж после 11 кл - 2 года (фармацевт) как лучше поступить? #образование",,Education
 Гость ," 08 февраля, 22:58 ","Начни с колледжа, потом устроишься на работу и, если нужно, на вечерке доучишься",,Education
 Саша ," 08 февраля, 23:46 ","Автор, пересказываю Вам слова моих знакомых. Все пошли в колледж, не пожалели. Через несколько лет захотели на вышку идти, учиться им было гораздо легче, плюс опыт работы был, отношения с преподавателями тоже лучше были.",,Education
 Гость ," 10 февраля, 13:07 ","куда потяните. не факт, что в универ пройдете. там балл ого-го",,Education
 Гость ," 10 февраля, 13:15 ",Имея профессию можно учится и работать.,,Education
 Автор ," 08 февраля, 18:51 ","После школы, я так и не определилась с тем на кого поступать. Умоляема родителей пойти учиться заочно, потому что знала, что очно просто перестану ходить. Хотя поступила на бюджет ( управление персоналом). Но через пол года учебы, забрала документы. Сейчас спустя 5 лет, наконец есть желание. Всем сердцем и душой, я в мед хочу. Но, есть два но. Нет возможности учится полностью очно. И второе, я все пропускаю через себя, очень эмоционально отношусь к негативным моментам других людей, боюсь не смогу. Так же хотела на психолога пойти, из интереса, но перспектив с этим не вижу.Ну и гостиничное дело, так как вижу плюсы для себя . #образование",,Education
 wferat ," 08 февраля, 19:06 ","Однозначно нужно выбирать ту профессию, которая Вам по душе и, где можно быстро найти вакансию.",,Education
 Ливия ," 08 февраля, 21:48 ","Идите в IT и все дороги перед вами будут открыты. Единственное что точно принесет деньги. А главное было бы желание, потянет любой.",,Education
 Гость ," 08 февраля, 22:18 ",Уже сокращения во всю идут,"Идите в IT и все дороги перед вами будут открыты. Единственное что точно принесет деньги. А главное было бы желание, потянет любой.",Education
 Любовь ," 10 марта, 09:19 ","На счет психолога не соглашусь! Очень перспективная профессия. Я отучилась в Московском институте психоанализа 3 года назад, и сейчас работаю в престижном центре с хорошей зарплатой. Регулярно повышаю свою квалификацию (в том же ВУЗе). Обожаю свою профессию! И посмотрите любые данные о самых популярных профессиях. В топ-10 обязательно есть психологи. Да и для себя поучиться на психолога тоже здорово.",,Education
 cat ," 08 февраля, 17:26 ","На какие специальности точно не стоит учиться в ВУЗе, типо туризм, гостиничное дело, филология…?",,Education
 Гость ," 08 февраля, 17:30 ","МенеджерЭкономист или юрист в непрофильном вузе.Всяческие управления, типа управление предприятием, никто не возьмёт вас управлять предприятием после выпуска.",,Education
 Мрр ;) ," 08 февраля, 17:31 ",типа архивное дело.,,Education
 Гость ," 08 февраля, 17:37 ",чойта? вакансий по этой специальности полно,типа архивное дело.,Education
 Гость ," 08 февраля, 17:37 ",музейное дело - всё. журфак тоже фейк.,,Education
 Мрр ;) ," 08 февраля, 17:37 ",а чо они хранят-то? щас все в электронном виде. Может несколько лет еще бумажки будут и все.,чойта? вакансий по этой специальности полно,Education
 Зинаида Тизенко ," 08 февраля, 17:18 ","Моя дочь Оля в школе всегда училась на 4 и 5, занималась общественной деятельностью и была примером для подражания. Её постоянно хвалили, ставили всем в пример, вручали грамоты и благодарности. На вручении аттестатов особо похвалили и отблагодарили. Её же одноклассница Сашка училась еле на 3, не пойму, почему ту не выгнали из школы. На выпускном ей вручили аттестат молча и в числе последних.Каково же было мое удивление, когда она решила поступать и притом прошла на бюджет в тот же вуз, что и моя Оля. Я была уверена, что вылетит после первого семестра. Но непонятно за что сессия была сдана на отлично. А моей Оле было сложно, так как программирование специальность сложная, требующая серьезных знаний и усилий. Не с первого раза закрыла сессию. Поэтому и стало непонятно, почему у Сашки все на отлично. Потом дочь ушла в академ и с бывшей одноклассницей связи не поддерживала. Затем она забрала документы, так как было сложно совместить учебу и детей. Когда мы узнали, что та Сашка стала магистром, были в шоке. В школе еле на 3, а тут нате. Это невозможно, чтоб бывшая троечница в вузе стала отличницей без подкупа преподавателей. Моей же дочери было сложно там. Поэтому очень обидно. Мало того, что она познакомила её с плохим человеком, который не работает, пьет и бьет её, так и ещё забрала её карьеру, просто покупая сессии и купив диплом. Очень хочется что мне, что моей дочери вывести ту Сашку на чистую воду и лишить диплома, который ей не положен. Из-за нее моя дочь теперь работает в школьной столовой и ищет подработки, денег не хватает.",,Education
 Гость ," 08 февраля, 17:25 ","Во накатала... впрочем, дальше заголовка не читал. И, судя по тому, что ты хочешь, чтобы комментаторы должны всё сделать за тебя, получится у тебя ровно то, что находится в твоей голове - пустота.",,Education
 Гость ," 08 февраля, 17:29 ",Не суй нос в чужую жизнь. Свою заимей. Дура,,Education
 Мрр ;) ," 08 февраля, 17:30 ","зависить - плохое чувство, автор.в школе это в школе, там много предметов и не всем они нравятся, а в институтах конкретное направление и по нему человек может быть спецом. У меня так одноклассника из-за алгебры и геометрии чуть на второй год не оставили, а интересовался он всегда историей, географией, политикой, обществознанием. Сейчас получил звание почетного юриста.Но это так, к слову. Тема все равно - разводка.",,Education
 Гость ," 08 февраля, 17:34 ","она не зависит, она завидует","зависить - плохое чувство, автор.в школе это в школе, там много предметов и не всем они нравятся, а в институтах конкретное направление и по нему человек может быть спецом. У меня так одноклассника из-за алгебры и геометрии чуть на второй год не оставили, а интересовался он всегда историей, географией, политикой, обществознанием. Сейчас получил звание почетного юриста.Но это так, к слову. Тема все равно - разводка.",Education
 Мрр ;) ," 08 февраля, 17:35 ","очевидно, что это опечатка","она не зависит, она завидует",Education
 Автор ," 08 февраля, 14:35 ","#ОбразованиеДобрый деньСегодня мой вопрос касается моего любимого хобби - изучения языков. Я уже знаю некоторые иностранные языки: японский, английский, французский, корейский, румынский и украинский. Хочу овладеть на среднем уровне ещё одним и не могу определиться, какой из них лучше.",,Education
 Гость ," 08 февраля, 14:38 ",Тьфу на тебя,,Education
 Гость ," 08 февраля, 14:39 ",Русский. Ты удивишься как много ты не знаешь.,,Education
 Гость ," 08 февраля, 14:42 ","Смотря для чего. На испанском много где говорят, ну и китайцев много.",,Education
 Гость ," 08 февраля, 14:43 ","Я сейчас с репетитором учу макакафилорнейский язык, это язык закрытого дикого племени в джунглях Бразилии, потому что я решила мигрировать туда, у нас в городе все заводы закрыли.",,Education
 Гость ," 08 февраля, 14:43 ","Фуфло не гони, в натуре, не знаешь ты никаких иностранных языков, а перечисленные тобой слишком разные, чтобы походя их выучить. Разводка.",,Education
 Автор ," 08 февраля, 14:05 ","У меня завтра МЦКО по биологии ,а я совсем не готова.",,Education
 Гость ," 08 февраля, 15:34 ","Попроси маму записку учителю написать, что плохо себя чувствуешь, и не иди в школу. Разве это проблема.",,Education
 Гость ," 08 февраля, 20:51 ","Жиза, у меня 10.02 тоже диагностика по биологии... Вроде шарю, но очень волнуюсь, мои одноклассники уже подготовили шпоры и скорее всего у них получится списать",,Education
 Рада ," 08 февраля, 13:16 ","Здравствуйте. Если моя фамилия на русскому языке начинается на букву «Ш», то на английском будет «Sh», или я могу просто «S» писать ?)))",,Education
 Захария ," 08 февраля, 13:26 ",а зачем,,Education
 Гость ," 08 февраля, 13:29 ","В британской развед школе тема сочинения, ""сколько медведей в Москве"", не знаю что и написать .....на англ",а зачем,Education
 Гость ," 08 февраля, 13:29 ",sh,,Education
 Mr. Smit ," 08 февраля, 13:44 ","Sh будет. Как минимум, можно вспомнить пример ""Sherlock Holmes""",,Education
 Захария ," 08 февраля, 13:50 ",считайте,"В британской развед школе тема сочинения, ""сколько медведей в Москве"", не знаю что и написать .....на англ",Education
 Lemon111 ," 08 февраля, 10:13 ","В том году поступила на первый курс в мед колледж на сестринское дело, но не понимаю математику от слова вообще. Скоро сдавать экзамены летом не знаю, что делать. Так не только с математикой, но физикой и с английским. Боюсь что не сдам или же если сдам не дойду до 2-но курса..",,Education
 Шульгина Ольга Викторовна ," 08 февраля, 10:36 ","Да, к сожалению во время обучения приходиться сталкиваться с некоторыми предметами, которые даются очень тяжелоДа, стресса из-за этого тоже очень много Но как бы это банально не звучало, определите тот минимум, который вы можете сделать, что бы остаться в колледже и сосредоточьте на этом свое внимание Вы всегда можете подойти к преподавателям, поделиться своими страхами и попросить помощи у них. Большинство из них пойдут вам на встречу. И вы всегда можете обратиться за помощью и объяснениями к более сильным одногруппникамГлавное не думайте, что если вы столкнулись с такими трудностями, то это потому что вы глупая и недостойны учиться, и вас обязательно выгонят. Это не так, трудно бывает многим, главное то, как вы сейчас с этим справитесь Желаю вам сил и смелости",,Education
 D.Koprofield ," 08 февраля, 10:25 ","так, и что от нас надо?=)Не ты одна боишься, все как то учатся, и ты выучишься=)с Вас 5000=)",,Education
 Гость ," 08 февраля, 10:30 ","Вас перед экзаменами обучат же, что вы так переживаете",,Education
 Золотая Рыбка ," 08 февраля, 10:34 ",А в мед колледже разве преподают эти предметы?,,Education
 Гость ," 08 февраля, 10:46 ","Да есть, на первом курсе проходят программу 10-11 классов",А в мед колледже разве преподают эти предметы?,Education
 Gumileva ," 08 февраля, 09:55 ","Где вы чувствовали себя лучше: в школе или университете? Где было легче учиться, меньше домашек, стресса и т.д.?",,Education
 D.Koprofield ," 08 февраля, 10:07 ","Дело не в домашке, дело в возрасте=)Лично мне веселее было,конечно, в универе=)",,Education
 Гость ," 08 февраля, 10:07 ",В универе.,,Education
 Гость ," 08 февраля, 10:12 ","Ни что. Нигде. И на работе тоже также как и в школе и универе может попасться какая-нибудь падлюга хитрая, подставлять и травить.",,Education
 Гость ," 08 февраля, 10:13 ","Странный вопрос) в школе легче конечно. В универе как таковой домашки нет - лекции электронные, ну тесты, эссе и прочее, ну с вышкой похуже, это да. Плюс есть отдельно разогнанные преподы по не особо важным предметам, но требуют огромного внимания именно к их дисциплинам. А сессия, в которой 5 экзаменов, 6 зачетов, 2 курсовых - и все это за пару недель - это тот еще квест, никакая школа и рядом не стояла",,Education
 г0сть что в г0рле к0сть ," 08 февраля, 10:14 ","Школа 11 класс. Ух, как вспомню так вздрогну -- до чего",,Education
 Пользователь23 ," 07 февраля, 23:49 ",Прошу поделиться опытом тех кто учился или учится в пед колледже на воспитателя или учителя начальных классов. Стоит ли идти учиться на учителя начальных классов или воспитателя? И жалеете ли вы о своём выборе? #образование,,Education
 Гость ," 08 февраля, 00:39 ","Профессия сама по себе хорошая. К сожалению, у нас система образования не лучшая на данный момент. Стоит идти, если понимаете все плюсы и минусы (много бумажной работы, неадекватные родители, немолодой коллектив, малыши и многое другое). Если осознаете себя в этой профессии, есть желание действительно преподавать знания, быть детям другом и помощником, я думаю вы не пожалеете)И работой всегда обеспечены будете. Возможен доп.заработок в виде работ в онлайн-школах (которые сейчас сильно набирают оборот и также нуждаются в сильных перспективных преподавателях), репетиторство. Я бы пошла)",,Education
 Гость ," 08 февраля, 01:51 ","Идти-то можно. Вот только работа адова. Если только потом идти репетиторствовать, или няней у богатых частным образом - тогда да, пригодится диплом. А в детсад или школу - с современными детьми и главное их родителями это будет дико тяжело! Ну зато всегда работу найдёте! Это из плюсов.",,Education
 Гость ," 08 февраля, 02:04 ","Стоит идти только потому, что ты получишь качественное базовое образование психолога, которое не имеют выпускники факультетов психологии, что даст тебе преимущества в создании собственной семьи, а позже в её строительстве и воспитании своих детей. На всё остальное забей и осознай смысл термина ""обучающийся"", как официально называется ныне школьник. Между терминами ""учащийся"" и ""обучающийся"" большая разница и её нужно понимать, думая о педагогической карьере. Я сам имею отношение к педагогической династии четырёх поколений, которая была прервана выпускницей физ-мата с ""красным"" дипломом проработавшая в школе аж месяц и пославшей российскую систему образования в известном направлении. Ныне она успешный специалист совместной компании, мать четырёх (!) детей в состоявшейся семье, эффективно применившая для себя и своей семьи знания полученные в педагогическом ВУЗе.",,Education
 Гость ," 08 февраля, 02:29 ","Сударыня, не вводите в заблуждение читательскую публику. Я муж училки начальных классов выработавшей всё, что можно выработать и получившей всё, что можно получить работая педагогом. Сам закончил ещё нормальную школу с правом льготного поступления в ВУЗ. Сегодня в России нет никакой системы образования от слова вообще. Все педагогические школы, которые имела отечественная система образования, заложенная в середине 19-го века уничтожены, что не делали даже революционеры. Они эти школы вывели на новый уровень, позволившей создать лучшую систему образования за всю историю человечества. Нынешняя система школьного образования - это бесовщина уже приведшая к необратимой деградации российского общества. Знаете или слышали о целях ""реформаторов"" конца 80-х к 2050 году оставить на территории нынешней России население достаточное по численности и уровню образования к обслуживанию и охране трубопроводов. Как вы сами думаете, удалось выполнить этот план?","Профессия сама по себе хорошая. К сожалению, у нас система образования не лучшая на данный момент. Стоит идти, если понимаете все плюсы и минусы (много бумажной работы, неадекватные родители, немолодой коллектив, малыши и многое другое). Если осознаете себя в этой профессии, есть желание действительно преподавать знания, быть детям другом и помощником, я думаю вы не пожалеете)И работой всегда обеспечены будете. Возможен доп.заработок в виде работ в онлайн-школах (которые сейчас сильно набирают оборот и также нуждаются в сильных перспективных преподавателях), репетиторство. Я бы пошла)",Education
 Василий ," 08 февраля, 15:22 ",Вы смотрите на себя. у каждого своя судьба.,,Education
 Автор ," 07 февраля, 22:49 ","Учимся заочно. Решили совместно ответы на вопросы к экзаменам писать. Разделили вопросы на всех и ответы выкладываем в группу. НО! У меня половина одногруппников - аутисты. Я не говорю, что я прям такая самая супер умная... Но я уже видела первые ими сделанные ответы на вопросы и это такая чушь! Вы понимаете, они даже с интернета не могут ответ нормально списать!!! Но всех все устраивает. Как мягко отказаться участвовать в совместной работе? Я не буду пользоваться их ответами, буду сама все для себя готовить. Но еще не хочу и своими ответами делиться с ними. Вот просто из принципа не хочу. Сразу согласилась, думала, совместно быстрее сделаем... А в итоге мне лично от этой совместной работы толку ноль. Я на высший бал рассчитываю, а с такими ответами разве что жалость препода получить можно. Но и ссориться со всей группой не хочется #образование",,Education
 Гость ," 07 февраля, 22:55 ","Ну сделай ответы на 3-4 балла, да и все",,Education
 Гость ," 07 февраля, 23:00 ","Просто культурно отказаться. Если совсем артисты, то ещё раз культурно сказать спасибо, не надо.",,Education
 Гость ," 07 февраля, 23:12 ","Пожалуйтесь преподу, что они скопировали ответы с нейросети Ghat GPT. Кто там будет разбираться, на самом деле скопировали или нет? Вам просто разрешал сдавать отдельно.",,Education
 Гость ," 07 февраля, 23:49 ","Какую то глупость пишете. Ну они пишут ответы хотите используйте хотите нет, вы к сожалению пока не очень умны и с гордыней. Может эти аутисты умнее вас, а вы просто не шарите.Вы же потом решаете брать их ответы или нет и ничего не теряете если ваши возьмут, еще раз повторяю нерациональное, злое и некооперативное поведение - это признак тупости, вам надо книжки про рациональные сделки, рациональное мышление и тому подобное, по сути вы свой аутизм проецируете на других. Даже академики берут себе раздолбаев под шевство вдруг они что то дельное напишут, отсеять - не написать.",,Education
 Гость ," 07 февраля, 23:50 ",*фство,"Какую то глупость пишете. Ну они пишут ответы хотите используйте хотите нет, вы к сожалению пока не очень умны и с гордыней. Может эти аутисты умнее вас, а вы просто не шарите.Вы же потом решаете брать их ответы или нет и ничего не теряете если ваши возьмут, еще раз повторяю нерациональное, злое и некооперативное поведение - это признак тупости, вам надо книжки про рациональные сделки, рациональное мышление и тому подобное, по сути вы свой аутизм проецируете на других. Даже академики берут себе раздолбаев под шевство вдруг они что то дельное напишут, отсеять - не написать.",Education
 Жанна Белова ," 07 февраля, 12:26 ","Добрый день. Дочь огорошила: хочет поступать на священнослужителя. Слишком поздно она это решила, предметы уже не поменять. Сдаёт физику. Подскажите, есть ли какие-нибудь институты, куда возьмут на священнослужителя с ЕГЭ по физике? Дочь православная, так что с этим проблем не будет. Готова отправить её в любой город, лишь бы шанс был. Подскажите, пожалуйста. #образование",,Education
 Мрр ;) ," 07 февраля, 12:36 ","вы уверены, что эти вопросы решаются на форумах?",,Education
 Вредина ," 07 февраля, 12:36 ",Дочь на батюшку...нда... 😳,,Education
 Гость ," 07 февраля, 12:39 ","Окстись,болезная.И детЮ своему малохольному вправь мозги.Купи ей кодило и дома пусть балуется",,Education
 Гость ," 07 февраля, 12:39 ",Ку куха едет?,,Education
 Деловунка всклянь ," 07 февраля, 12:40 ",Женщина разве может быть священником? 😁,,Education
 Автор ," 07 февраля, 04:02 ","Дело в том что я до 15 лет не задумывалась о своей профессии, мне было это не интересно, плохо училась, не развивалась, вот и поступила в колледж на продавца. В 19 лет поняла что юриспруденция - это моё. Работая продавцом получаю 18000 рублей в месяц а нотариусы очень много зарабатывают. Родители говорят, что без знакомых найти работу нотариусом сложно и у меня никого нет кто бы меня пристроил туда. Но попробовать стоит, ибо моя подруга без блата стала нотариусом, она училась в самом лучшем ВУЗе страны - Мгюа кутафина и ее взяли там работать из-за этого, да и я хочу быть профессиональным человеком, качественно выполнять свою работу, мне интересно решать вопросы, связанные с законодательствомЕсли я пойду на вышку, да темболее заочное образование это что-то даёт? Как вы думаете, может мне попробовать поступить на юриста? #образование #работа",,Education
 Гость ," 07 февраля, 07:55 ","Автор, а у меня обратная ситуация. Я получила высшее юридическое (бакалавр). Закончила престижный вуз в своём регионе. Поменяла 2 места работы по специальности, на обоих продержалась пару месяцев, и то с натугой. Уволилась и устроилась кассиром, второй год работаю и пока никуда сбегать не собираюсь)По поводу работы по специальности - найти её проблем особых не было, те места находила себе в течение пары недель. Но оба были копеечные в плане зарплаты, продавцы больше получают. Плюс график формально был с 8 (9) утра до 5 (6) вечера, а на деле - как придётся. Бывало, брала работу домой на выходные (файлы с компа рабочего). Или приходила на работу раньше времени. Но для зарплаты это значения не имело. Значения связей отрицать не буду, но шансы на более высокие зарплаты и должности, я думаю, всегда есть и у всех. Но лично меня это не волновало, не было мотивации продолжать это всё. Сам процесс работы бесил, а копеечный выхлоп - тем паче. Но если чувствуете, что ваше - идите, отговаривать не буду.",,Education
 Гость ," 07 февраля, 09:24 ","Забудьте про нотариуса. Это очень хлебное место, участок кормит нотариуса всю жизнь. Просто так туда попасть невозможно. Купить место стоит очень дорого, в моем родном городе это стоило несколько миллионов, в Москве - даже не представляю, сколько, чем больше город, тем дороже, а кроме денег нужно иметь связи - знать, кому нужно занести и как это сделать. И туда очередь стоит из желающих с деньгами. За подругу ""без связей"" явно кто-то заплатил, скорее всего, ее родители или любовник из полиции с каким-нибудь высоким чином. Люди ради этого квартиры продают. Заочное образование - это не образование, а бумажка, оно не ценится работодателями и никому не нужно. Тем более, для юриста. Это фикция.",,Education
 Гость ," 07 февраля, 09:48 ",За несколько миллионов даже в Заджоппинске такую работе не получить.,"Забудьте про нотариуса. Это очень хлебное место, участок кормит нотариуса всю жизнь. Просто так туда попасть невозможно. Купить место стоит очень дорого, в моем родном городе это стоило несколько миллионов, в Москве - даже не представляю, сколько, чем больше город, тем дороже, а кроме денег нужно иметь связи - знать, кому нужно занести и как это сделать. И туда очередь стоит из желающих с деньгами. За подругу ""без связей"" явно кто-то заплатил, скорее всего, ее родители или любовник из полиции с каким-нибудь высоким чином. Люди ради этого квартиры продают. Заочное образование - это не образование, а бумажка, оно не ценится работодателями и никому не нужно. Тем более, для юриста. Это фикция.",Education
 Digital mouse ," 07 февраля, 10:03 ","Попробуйте поучиться, если есть желание и силы. Для начала скорее всего придется поработать помощником юриста/нотариуса, а дальше как пойдет.",,Education
 Василий ," 07 февраля, 10:07 ","Учитесь. нотариусом, конечно вам не стать. подруга врёт.",,Education
 Автор ," 06 февраля, 21:10 ","Здравствуйте! Я репетитор математики, занимаюсь с детьми любого возраста. Работаю по абонементу: оплата сразу за 8 уроков (кол-во занятий в неделю определяется индивидуально, конечно), если ученик (родитель) предупреждает об отмене урока меньше, чем за 12 часов, занятие сгорает (за исключением форсмажорных обстоятельств). С этими условиями родители согласны. Сегодня возникла неприятная ситуация: за 2 часа до урока звонит мама ученика и говорит, дословно: ""Добрый день, Костя плохо себя чувствует, чем-то отравился в школе, мы можем перенести урок?"". Перенести я не могу, так как по выходным не работаю, а в будни преподаю в вузе + репетиторство. Мама ученика сказала, что в таком случае они бы хотели сменить репетитора, и я должна вернуть деньги за оставшиеся уроки (у них осталось 4 урока по абонементу). Я отказалась, так как, во-первых, о пропусках предупреждают за 12 часов, во-вторых, она была согласна с этим условием. К слову, этому мальчику 13 лет, то есть не второклассник, а работаю я онлайн, соответственно ехать ему никуда не нужно, поэтому позаниматься можно было даже сегодня, урок длится всего час. Не знаю, насколько правильно я поступила... #образование #нуженсовет",,Education
