text,quote,users,times,topic
"Тайланд Сиамское и Андаманское побережье на машине.Всем привет! Меня зовут Маша и я люблю путешествовать, организовывая путешествие самостоятельно, а еще люблю встречи и общение в путешествии. Если вы позитивный и дружелюбный, если вы активный и любящий жизнь, то нам надо вместе!) Я со своим другом отправляюсь в 1,5 месячное путешествие по Тайланду, сразу оговорю, оно у меня не первое. Первые две недели мы проведем на юге, исследую красивые места. Итак, 16.12.217 мы прибываем в Бангкок, откуда 18.12.217 мы приобрели трансфер до острова Пханган в Сиамском заливе от компании Ai Asi. Приобретать заранее трансфер дешевле, чем приобретать коннект-билет на месте, потому рекомендую сделать тоже самое. По лунному календарю 18.12.217 выпадает на полнолуние, это означает, что по приезду мы попадаем на самое грандиозное тусовочное мероприятие всего Тайланда - Full Moo Py! И даже если вы совершенно не тусовщик, то посмотреть это мероприятие стоит как на явление, однозначно! По этой причине, мы селимся на пляже Hd Ree (могу ошибаться в написании), но в дали от самой пати, чтобы всё-таки спать. Далее предполагается исследовать остров от пляжа к пляжу на мотобайке в течение не более недели. Потому, вам надо будет ездить самостоятельно на байке и иметь медицинскую страховку. Возможно, если будет достаточное количество людей, то мы арендуем машину и поездим на машине. Далее от Пангана планируем двинуться в городок Кханом для того, чтобы посмотреть на розовых дельфинов, далее скорее всего на машине до Th Bok Khoi Niol Pk Kbi Thild (по карте по пути) и на остров Ko Yo Noi, где пробудем 2-3 дня, далее, в провинцию Краби, где также запланирован маршрут из 5 мест (Храм Тигра (Tige Cve Temple), озера, полуостров Рейли на лодке, Кхао Пханомбенча (Kho Phombech), возможно, полуостров Бамбу (под вопросом). Если успеваем, то остров Ко Джум и 2.1.218 мы отправляемся из аэропорта Краби в Чиангмай. Я уже была здесь, потому в этом городе 1 -2 дня максимум и далее по маршруту Мае Сарианг- Мае Хонг Сонг- Пай- Чианг Дао - Тха-Тон - Чианг Рай (?). Вот такие планы! Если кто-то желает присоединиться, то это должно быть не более 3 человек, так как больше в машину не поместиться, а две группы, как правило очень трудно организовать для синхронного перемещения. Кстати, по бюджету, стремимся экономить. Лимит расходов на жилье -1 долларов. Далее, из обстановки.",,Tem2Tvel,28 сен 2017,Travel
"Собираемся наконец-то то с малышом съездить к морю. Ребенку 2,1 года. Что с собой брать? Брать ли коляску ? Мы уже давно не сидим коляске, но как гулять по набережной и ходить по экскурсиям?? Понятно что аптечку, подгузники, салфетки влажные. Что еще? Чем кормить малыша в самолете? Ни разу не летали, очень переживаю!",,Helg,7 сен 2017,Travel
" Нам 2 годика, но путишевствия для нас проблематични...",, Тамерлана, 7 сен 2017,Travel
" Нам 2 годика, но путишевствия для нас проблематични...",, Тамерлана, 7 сен 2017, Travel
 Почему?," Нам 2 годика, но путишевствия для нас проблематични...", Helg, 7 сен 2017, Travel
" Ребенок в пути начинает капризничать, ведет себя не так, как обично, такое впечетление, что доча сама не знает что с ней происходит И чего она хочет...ну И отдельная тема укачивание...",, Тамерлана, 8 сен 2017, Travel
" Возьмите коляску на прокат или у знакомых, попробуйте погулять пару раз с малышом, как он отреагирует. Обычно детки любят кататься на коляске , моей 3 года она до сих пор не проч прогуляться на коляске. Детки разные, конечно. Вообще отдыхать с ребенком и легко и сложно. Возьмите в самолет возьмите паучи фруктовые, кашу быстрого приготовления, фруктики, что бы занять ребенка возьмите книжки небольшие, новую недорогую игрушку, я беру обязательно книжечки с наклейками, доча может пол часа провозиться с ними. Возьмите поильник и посудуребенка, передник, если будете жить в отеле а не в квартире, это конечно не обязательно, но нам комфортнее было со своей посудой. Хорошего отдыха вам!",, Гость КатяКатерина, 9 сен 2017, Travel
" Мы берем с собой хипсит, очень удобная штука, в аэропорту ходить например с малышом. У нас без вот такой примерно. И малышу не всегда интересно ездить в коляске, часто просится на ручки, с хипситом легче его нести.Изменено 13 сен 217 пользователем Vici",, Vici, 13 сен 2017ttttttt(изменено)ttttttttttt, Travel
"Поделитесь где вы обычно покупаете билеты на самолет? Через кассы, тур агенство или интернет? Какой метод самый оптимальный для вас и дешевый?",,Фиона,2 апр 2016, Travel
" Мы с мужем путешествуем часто, поэтому билеты бронируем сами, что бы не тратить лишние денежки. Последнее время заказываем через сайт викитранстпорт, очень удобно.",, iok, 26 апр 2016,Travel
 ,, liohk, 26 апр 2016, Travel
" Почти всегда в турагентстве. Я знаю, что можно покупать через интернет, и даже найти билеты по выгодной цене, но я до сих пор боюсь покупать такие вещи в интернете Мне кажется, что вдруг меня обманут. А в турагентстве всё надёжно, платишь и сразу получаешь документы в руки.",, Blly, 28 май 2016, Travel
" Всегда по разномуполучается, смотря в каком направлении намечается поездка)",, Аризона, 14 авг 2016, Travel
" У нас все зависит от страны в которую мы хотим полететь, если это далекие страны Азии, то чтоб билет был дешевле, то непосредственно бронировали в аэропорту и заблаговременно, так как мы чаще всего без посредников летаем, чтоб не быть ни к кому не привязанными. Вот были по весне на Кипре, билеты бронировали за три месяца, цена вышла на 15% дешевле обычной,отель выбрали тут hps://www.kipifom.com/uizm/oeli/и тоже бронировали заранее, на цене это тоже не много но сказалось.",, Арли, 14 авг 2016, Travel
" Через турагентство, конечно. Мы не из самых богатых людей планеты, так что ищем где бы подешевле отхватить путёвочки. Вот этот оператор нам очень помогает в этом. Всегда есть в наличии такой отдых, который нам по карману, но при этом не в самом убогом месте. А вполне в приличном.",, Bizz, 18 авг 2016, Travel
 Через интернет.,, Тирион, 24 авг 2016, Travel
" Билеты на самолет покупаю у компании Touips. Знаю, что здесь все честно",, Гость Lochk!, 5 мар 2017, Travel
" а мы сами бронируем. В это лето бронировали на связном билеты в Сочи, вообще никаких проблем не возникло.",, Вероника В, 31 май 2017, Travel
" сейчас самим бронировать намного проще, чем связываться с туроператорами. тем более при поездке на наш юг. жилье можно самому снять, да и билеты купить не проблема",, Msh819, 31 май 2017, Travel
Давайте делиться местами отдыха и отзывами о курортах.,,Гость Галочка,1 авг 2016, Travel
" Могу посоветовать курорт в Краснодарском крае возле Ейска, так сказать по горячим следам - только вернулись оттуда. Отдыхали на косе Долгой в 4 км от Ейска на базе ""Казачий берег"". Всем очень понравилось - и детям, и взрослым. Ездили всей семьёй - мы с мужем, дети и бабушка. Чудное местечко, нам кума рекомендовала его. Море чистое с хорошим дном, неглубокое - для деток самое то, на берегу мелкий ракушечник. Очень понравилось питание на базе (шведский стол), уютные номера, ухоженная территория, а уж развлечений сколько - всего и не перепробовали наверное.",, Relmccoy, 1 авг 2016,Travel
" Поселок Кучугуры. Оннедалеко от Анапы. Отдыхали давно, но помню, что понравилось!!",, Tli, 1 авг 2016, Travel
" Послушаю, на след. год актуально будет.",, Тирион, 24 авг 2016, Travel
" Посоветуйте хороший санаторий на черноморском побережье, желательно, на черном море. Актуально для отдыха с детьми, но бюджетный. Чтобы и не дорого было, и уютно. Может, кто знает?",, gogozh, 30 авг 2016, Travel
" В Бердянске много хороших санаториев, да и квартиру и хостел можно не дорогие найти",, Toy7, 11 сен 2016, Travel
" о спасибо, а что за Бердянск такой? с России туда ездят или нет?",, Augusi, 10 май 2017, Travel
"Хотим с молодым человеком поехать отдохнуть на море. но мы не особые любители скучно, романтического отдыха,любим компании, отдыхать, из друзей никто в это же время с нами не может поехать, а вдвоем как-то скучно, никто не хочет составить компанию?? Планируем в сентябре - даты неважно какие в Испанию)",,Sidy,31 авг 2016, Travel
 А отель? город? думали уже?)),, ki.28.28, 1 сен 2016,Travel
 а по цене?,, sdlik17@mil.u, 17 окт 2016, Travel
 Нашли в итоге компанию? И как отдых?))),, Джули, 19 дек 2016, Travel
" Если бы поехали в Азербайджан, мы бы составили компанию ))",, Адам Малхиев, 20 дек 2016, Travel
"Только получила отпуск, хотим с мужем и дочкой всё-таки вырваться к морю. Больше склоняюсь к Азовскому морю, оно для деток более подходящее.",,Lpochk,4 сен 2016, Travel
" Езжайте в Краснодарский край на косу Долгая. Мы там любим отдыхать всей семьёй на базе ""Казачий берег"". Просто идеальные условия для отдыха взрослых и детей - чистое море с хорошим дном, мелкий песочек, вкусное и разнообразное питание (шведский стол), просторные номера, СПА-центр и куча развлечений: игровые площадки и водные аттракционы, бильярд, боулинг, рыбалка, пейнтбол, дискотека, караоке, аниматоры, всего и не перечислишь, тут подробнее можно почитать об этом курорте.",, Relmccoy, 4 сен 2016,Travel
" Классно там, судя по всему... жаль только на море сейчас везде начался бархатный сезон и теперь билетов днем с огнем не сыщешь, надо было раньше видимо озаботиться этим вопросом(",, posomy, 7 сен 2016, Travel
" Если именно в России хотите, тогда только Сочи, там еще тепло. А так советую лучше куда-то полететь. Мы вот в августе летали в Италию, были в Риме. Исторический город, очень старый и красивый. Непередаваемый колорит. Билеты вышли нам не дорого, брали по скидке",, Lolly_Polly, 8 сен 2016, Travel
" Да мне кажется, недорого сейчас не найдешь нигде, ни 4 в 1, ни 5 в 1",, posomy, 13 сен 2016, Travel
"Всем добрый день! Кто отдыхал в Подмосковье, подскажите хороший дом отдыха или тур базу!! Очень нужно! Отдых планируется на выходные в июле, желательно что была большая территория где можно кататься на велосипедах, ну и конечно желательно наличие водоема! Спасибо огромное!!!",,Muly,5 июл 2016, Travel
" Позвоните в МедСити, они помогут вам выбрать нужный санаторий",, Kuochk, 6 июл 2016,Travel
